brand,km_driven,fuel,owner,selling_price,brand_updated
Maruti,145500,Diesel,First Owner,450000,Maruti
Skoda,120000,Diesel,Second Owner,370000,Skoda
Honda,140000,Petrol,Third Owner,158000,Honda
Hyundai,127000,Diesel,First Owner,225000,Hyundai
Maruti,120000,Petrol,First Owner,130000,Maruti
Hyundai,45000,Petrol,First Owner,440000,Hyundai
Maruti,175000,LPG,First Owner,96000,Maruti
Maruti,5000,Petrol,Second Owner,45000,Maruti
Toyota,90000,Diesel,First Owner,350000,Toyota
Ford,169000,Diesel,First Owner,200000,Ford
Renault,68000,Diesel,Second Owner,500000,Renault
Maruti,100000,Petrol,Second Owner,92000,Maruti
Maruti,140000,Diesel,Second Owner,280000,Maruti
Maruti,80000,Petrol,Second Owner,200000,Maruti
Maruti,90000,Petrol,Second Owner,180000,Maruti
Mahindra,40000,Petrol,First Owner,400000,Mahindra
Maruti,70000,Diesel,Second Owner,778000,Maruti
Hyundai,53000,Diesel,Second Owner,500000,Hyundai
Maruti,80000,Petrol,Second Owner,150000,Maruti
Hyundai,100000,Diesel,First Owner,680000,Hyundai
Mahindra,100000,Diesel,Second Owner,174000,Mahindra
Honda,50000,Diesel,First Owner,950000,Honda
Maruti,40000,Diesel,First Owner,525000,Maruti
Maruti,72000,Diesel,First Owner,600000,Maruti
Tata,35000,Petrol,First Owner,500000,Tata
Maruti,45000,Petrol,First Owner,575000,Maruti
Maruti,28000,Petrol,First Owner,275000,Maruti
Chevrolet,70000,Diesel,First Owner,300000,Chevrolet
Maruti,120000,Petrol,First Owner,220000,Maruti
Maruti,25000,Petrol,First Owner,254999,Maruti
Maruti,70000,Diesel,First Owner,670000,Maruti
Fiat,50000,Petrol,Second Owner,70000,Fiat
Maruti,35000,Petrol,Second Owner,150000,Maruti
Hyundai,2388,Petrol,First Owner,730000,Hyundai
Maruti,16200,Diesel,First Owner,650000,Maruti
Maruti,10000,CNG,Second Owner,330000,Maruti
Maruti,15000,Petrol,First Owner,366000,Maruti
Hyundai,5000,Petrol,First Owner,1149000,Hyundai
Datsun,42000,Petrol,First Owner,150000,Datsun
Tata,60000,Diesel,Second Owner,425000,Tata
Maruti,76000,Petrol,First Owner,150000,Maruti
Jeep,5000,Petrol,First Owner,2100000,Jeep
Honda,28900,Petrol,First Owner,925000,Honda
Honda,86300,Petrol,First Owner,425000,Honda
Maruti,23300,Petrol,First Owner,675000,Maruti
Maruti,32600,Diesel,First Owner,819999,Maruti
Maruti,10300,Petrol,First Owner,390000,Maruti
Toyota,77000,Diesel,First Owner,1500000,Toyota
Toyota,99000,Diesel,First Owner,700000,Toyota
Mercedes-Benz,27800,Diesel,Second Owner,1450000,Mercedes-Benz
Honda,49800,Diesel,First Owner,425000,Honda
Mitsubishi,151000,Diesel,First Owner,1090000,Mitsubishi
Honda,54700,Diesel,First Owner,600000,Honda
Maruti,64000,Petrol,First Owner,850000,Maruti
Honda,63000,Diesel,First Owner,525000,Honda
Toyota,127700,Diesel,Second Owner,1650000,Toyota
Toyota,99000,Diesel,First Owner,950000,Toyota
Audi,33900,Diesel,Second Owner,1750000,Audi
Toyota,25000,Petrol,First Owner,1590000,Toyota
Audi,50000,Diesel,First Owner,1689999,Audi
Mercedes-Benz,59000,Diesel,First Owner,1425000,Mercedes-Benz
Tata,120000,Diesel,First Owner,265000,Tata
Hyundai,110000,Petrol,Third Owner,190000,Hyundai
Hyundai,60000,Diesel,First Owner,425000,Hyundai
Maruti,147000,Diesel,Second Owner,630000,Maruti
Ford,25000,Petrol,Third Owner,600000,Ford
Maruti,30000,Petrol,First Owner,650000,Maruti
Volkswagen,40000,Diesel,First Owner,540000,Volkswagen
Honda,135000,Diesel,First Owner,630000,Honda
Maruti,30000,Petrol,First Owner,448000,Maruti
Volkswagen,80000,Diesel,First Owner,500000,Volkswagen
Maruti,70000,Diesel,First Owner,745000,Maruti
Maruti,9850,Diesel,First Owner,1025000,Maruti
Hyundai,60000,Petrol,Second Owner,235000,Hyundai
Maruti,70000,Diesel,First Owner,630000,Maruti
Toyota,78000,Diesel,Second Owner,1700000,Toyota
Maruti,120000,Diesel,Second Owner,450000,Maruti
Maruti,120000,Petrol,Second Owner,450000,Maruti
Tata,70000,Diesel,First Owner,50000,Tata
Volkswagen,170000,Diesel,First Owner,450000,Volkswagen
Toyota,140000,Diesel,First Owner,1200000,Toyota
Ford,90000,Diesel,First Owner,610000,Ford
BMW,30000,Petrol,Second Owner,2500000,BMW
Maruti,10000,Petrol,First Owner,484999,Maruti
Datsun,49000,Petrol,First Owner,275000,Datsun
Maruti,32000,Petrol,First Owner,315000,Maruti
Maruti,38000,Petrol,First Owner,275000,Maruti
Maruti,78000,Diesel,First Owner,475000,Maruti
Hyundai,28000,Petrol,First Owner,290000,Hyundai
Maruti,32000,Petrol,First Owner,280000,Maruti
Maruti,44000,LPG,First Owner,225000,Maruti
Volkswagen,42000,Petrol,First Owner,455000,Volkswagen
Hyundai,45000,Petrol,Second Owner,351000,Hyundai
Volkswagen,12000,Petrol,Second Owner,535000,Volkswagen
Maruti,55500,Petrol,First Owner,175000,Maruti
Hyundai,61500,Petrol,First Owner,525000,Hyundai
Maruti,150000,Diesel,First Owner,600000,Maruti
Hyundai,72000,Petrol,First Owner,565000,Hyundai
Maruti,68000,Petrol,Third Owner,120000,Maruti
Hyundai,110000,Diesel,First Owner,725000,Hyundai
Maruti,77000,Petrol,Second Owner,185000,Maruti
Tata,100000,Diesel,Second Owner,200000,Tata
Maruti,10000,Petrol,First Owner,615000,Maruti
Maruti,100000,Petrol,Third Owner,270000,Maruti
Maruti,35000,Petrol,First Owner,610000,Maruti
Mahindra,70000,Diesel,Second Owner,625000,Mahindra
Ford,5000,Petrol,Second Owner,400000,Ford
Hyundai,37800,Petrol,First Owner,866000,Hyundai
Volkswagen,114000,Petrol,First Owner,700000,Volkswagen
Tata,48000,Petrol,First Owner,300000,Tata
Mahindra,32000,Diesel,First Owner,1700000,Mahindra
Tata,100000,Diesel,First Owner,375000,Tata
Hyundai,150000,Diesel,Second Owner,522000,Hyundai
Hyundai,69000,Diesel,First Owner,451999,Hyundai
Toyota,100000,Petrol,Second Owner,300000,Toyota
Maruti,13000,Petrol,First Owner,475000,Maruti
Maruti,60000,Diesel,First Owner,780000,Maruti
Maruti,40000,Petrol,First Owner,595000,Maruti
Maruti,35000,Petrol,First Owner,440000,Maruti
Maruti,120000,Diesel,Second Owner,300000,Maruti
Nissan,70000,Diesel,Third Owner,400000,Nissan
Hyundai,50000,Diesel,First Owner,1140000,Hyundai
Ford,76139,Diesel,First Owner,850000,Ford
Maruti,175000,Diesel,Fourth & Above Owner,370000,Maruti
Renault,25000,Petrol,First Owner,350000,Renault
Maruti,40000,Petrol,Second Owner,360000,Maruti
Maruti,65000,Petrol,Fourth & Above Owner,105000,Maruti
Maruti,90000,Diesel,Second Owner,625000,Maruti
Hyundai,80000,Petrol,Second Owner,135000,Hyundai
Maruti,110000,Diesel,Second Owner,700000,Maruti
Honda,1303,Petrol,First Owner,690000,Honda
Audi,31800,Diesel,First Owner,3975000,Audi
Lexus,20000,Petrol,First Owner,5150000,Lexus
Jaguar,45000,Diesel,First Owner,3200000,Jaguar
Jeep,17000,Petrol,First Owner,4100000,Jeep
Land,21000,Diesel,First Owner,4500000,Others
Mercedes-Benz,37000,Diesel,First Owner,6000000,Mercedes-Benz
BMW,29500,Diesel,First Owner,3790000,BMW
BMW,27000,Diesel,First Owner,2150000,BMW
BMW,7500,Diesel,First Owner,5800000,BMW
Skoda,50000,Petrol,First Owner,1864999,Skoda
Mercedes-Benz,35000,Diesel,First Owner,2700000,Mercedes-Benz
MG,19000,Petrol,First Owner,1750000,Others
Honda,41000,Petrol,First Owner,795000,Honda
Toyota,39000,Petrol,First Owner,625000,Toyota
Volvo,22000,Diesel,First Owner,3400000,Volvo
Audi,53000,Diesel,First Owner,2650000,Audi
Maruti,40000,Diesel,First Owner,535000,Maruti
Mercedes-Benz,47000,Diesel,First Owner,5850000,Mercedes-Benz
BMW,72200,Petrol,Second Owner,975000,BMW
Hyundai,49900,Petrol,First Owner,805000,Hyundai
Jaguar,9000,Diesel,First Owner,2625000,Jaguar
Tata,11000,Petrol,First Owner,811000,Tata
Volkswagen,49000,Petrol,First Owner,375000,Volkswagen
Hyundai,95000,Petrol,First Owner,550000,Hyundai
Skoda,11000,Petrol,First Owner,645000,Skoda
Mercedes-Benz,18000,Petrol,First Owner,2550000,Mercedes-Benz
Maruti,46100,Petrol,First Owner,599000,Maruti
Mercedes-Benz,16000,Petrol,First Owner,2700000,Mercedes-Benz
Honda,18000,Petrol,First Owner,875000,Honda
Toyota,9654,Petrol,First Owner,894999,Toyota
Maruti,11000,Petrol,First Owner,175000,Maruti
Maruti,24300,Petrol,First Owner,340000,Maruti
Toyota,42163,Diesel,Second Owner,1525000,Toyota
Tata,8000,Diesel,First Owner,1025000,Tata
BMW,30000,Diesel,First Owner,2150000,BMW
Toyota,41000,Petrol,First Owner,1900000,Toyota
BMW,12000,Diesel,First Owner,2900000,BMW
Toyota,71000,Petrol,First Owner,450000,Toyota
Maruti,20000,Petrol,First Owner,850000,Maruti
Volvo,30000,Petrol,First Owner,10000000,Volvo
Volkswagen,100000,Diesel,Second Owner,300000,Volkswagen
Ford,9500,Petrol,First Owner,575000,Ford
Ford,120000,Diesel,First Owner,160000,Ford
Maruti,36600,Petrol,First Owner,515000,Maruti
Maruti,50000,Petrol,Second Owner,390000,Maruti
Hyundai,14000,Petrol,Second Owner,550000,Hyundai
Maruti,40000,Petrol,Second Owner,40000,Maruti
Maruti,120000,Diesel,First Owner,220000,Maruti
Hyundai,70000,Petrol,First Owner,425000,Hyundai
